S.No.,Player_name,Team,Matches,Innings,Not_out,Total_runs_scored,Highest_score,Batting_avg,Total_balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes,Nineties,Best_Bowling,Wkts_taken,5_wkts,4_wkts,Catch_taken,Stamp_by_wk,Balls_bowled,Bowling_avg,Economy,Runs_given,Category
80,Mohit Rathee,RCB,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,Bowler
81,Tim Seifert,RCB,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,WK Batsman
82,Yash Dayal,RCB,15,15,1,4,3,2,8,50,0,0,NA,0,0,0,2 for 18,13,0,0,3,0,294,36.15,9.59,470,Bowler
83,Mayank Agarwal,RCB,4,4,1,95,41,31.67,64,148.44,0,0,NA,10,2,0,0,0,0,0,0,0,0,NA,NA,0,Batsman
84,David Miller,LSG,11,11,6,153,27,30.6,120,127.5,0,0,NA,13,4,0,0,0,0,0,5,0,0,NA,NA,0,AR
85,Avesh Khan,LSG,13,13,3,21,19,21,12,175,0,0,NA,3,1,0,3 for 37,13,0,0,2,0,284,37.46,10.29,487,Bowler
86,Abdul Samad,LSG,13,13,4,164,45,20.5,93,176.34,0,0,NA,8,14,0,0 for 6,0,0,0,4,0,2,NA,18,6,AR
87,Akash Deep,LSG,6,6,1,6,6,6,2,300,0,0,NA,0,1,0,2 for 55,3,0,0,0,0,114,76.33,12.05,229,Bowler
88,Himmat Singh,LSG,3,3,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,0,NA,NA,0,Bowler
89,M. Siddharth,LSG,2,2,0,0,0,NA,0,NA,0,0,NA,0,0,0,2 for 39,2,0,0,1,0,42,33.5,9.57,67,Bowler
90,Digvesh Singh,LSG,13,13,1,1,1,1,3,33.33,0,0,NA,0,0,0,2 for 30,14,0,0,3,0,312,30.64,8.25,429,Bowler
91,Shahbaz Ahamad,LSG,3,3,0,9,9,9,8,112.5,0,0,NA,1,0,0,1 for 41,1,0,0,0,0,51,102,12,102,Bowler
92,Shamar Joseph,LSG,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,Bowler
93,Akash Singh,LSG,3,3,0,0,0,NA,0,NA,0,0,NA,0,0,0,2 for 30,4,0,0,0,0,67,24.75,8.87,99,Bowler
94,Prince Yadav,LSG,6,6,2,5,4,NA,10,50,0,0,NA,0,0,0,1 for 29,3,0,0,2,0,137,75,9.85,225,Bowler
95,Arshin Kulkarni,LSG,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,Bowler
96,Matthew Breetzke,LSG,1,1,0,14,14,14,12,116.67,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,0,Batsman
97,Ayush Badoni,LSG,14,14,1,329,74,32.9,222,148.2,0,2,NA,27,14,0,2 for 4,2,0,0,4,0,10,6.5,7.8,13,AR
